,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
300,300,guidanc idea provid evolut prais process,for all the guidance and ideas that he provides for the evolution of the praise process,14.0,🐙 octopus#5508,2021-07-15T22:00:00.000Z,
303,303,match trust seed member ih list,for matching the Trusted Seed members in the IH list,12.33,DanKnobelsdorf#0326,2021-07-15T22:00:00.000Z,
304,304,,for ,0.43,divine_comedian#5493,2021-07-30T22:00:00.000Z,
306,306,hero final detail need us hatch,for being the heroes in finalizing all the details needed for us to hatch,14.0,natesuits#4789,2021-07-15T22:00:00.000Z,
307,307,hero final detail need us hatch,for being the heroes in finalizing all the details needed for us to hatch,11.6,ygg_anderson#4998,2021-07-15T22:00:00.000Z,
309,309,skip parti pari emerg sticker support,for skipping out on a party in paris to do emergency sticker support,6.33,kristofer#1475,2021-07-18T22:00:00.000Z,
311,311,soft gov sync today ,for being in the soft gov sync today!,5.0,"griff (💜, 💜)#8888",2021-07-26T22:00:00.000Z,
317,317,includ teach prais transcrib ,for all that she does (including teaching me how to do praise transcribing),6.33,iviangita#3204,2021-07-15T22:00:00.000Z,
318,318,get everyon drunk mezcal,for getting everyone drunk on mezcal,7.33,chuygarcia.eth#6692,2021-07-30T22:00:00.000Z,
321,321,invit michael present arborvot spotlight commun call,for inviting Michael to present ArborVote at the spotlight in the Community Call,5.67,Mount Manu#3530,2021-07-30T22:00:00.000Z,
322,322,come orient ama call,for coming to the orientation AMA call :D,5.0,anna-marie#8824,2021-07-13T22:00:00.000Z,
324,324,look tec fam keep us togeth healthi,for looking out for the TEC fam and keeping us together and healthy,5.67,Suga#8514,2021-07-28T22:00:00.000Z,
326,326,explanatori zer help onboard friend,for being very explanatory with Zer8 and for helping him onboard a friend,7.33,DanKnobelsdorf#0326,2021-07-15T22:00:00.000Z,
327,327,incred knowledg human system,for her incredible knowledge on human systems,6.33,nathalia#0926,2021-07-28T22:00:00.000Z,
328,328,support continu offer tec commun ,for the support she continues to offer to the TEC community!,2.43,anna-marie#8824,2021-07-28T22:00:00.000Z,
329,329,go dan’ present,for going to Dan’s presentation,6.33,divine_comedian#5493,2021-07-30T22:00:00.000Z,
333,333,honor integr express make everyth look easi,for the honor and integrity with which you express yourself and making everything look so easy,7.0,ygg_anderson#4998,2021-07-15T22:00:00.000Z,
334,334,contribut comm,for their contributions in Comms,1.7,David (please DYOR...)#4116,2021-07-30T22:00:00.000Z,
335,335,reach hatcher get last minut activ ,for reaching out to hatchers and getting their last minute activations!,7.0,Tam2140#9361,2021-07-13T22:00:00.000Z,
337,337,fantast pari tip upcom week,for all their fantastic Paris tips for this upcoming week,7.0,Suga#8514,2021-07-15T22:00:00.000Z,
338,338,fantast job comm week could never achiev great ethcc week without watch back doubl prais serious ❤️,"for the fantastic job they've been doing at comms this week! we could've never achieved such a great ethcc week without you watching our backs! DOUBLE PRAISE, seriously ❤️",9.67,Mount Manu#3530,2021-07-23T22:00:00.000Z,
339,339,perpetu motion machin,for being a perpetual motion machine,8.0,"griff (💜, 💜)#8888",2021-07-30T22:00:00.000Z,
340,340,hold ground us away,for holding the grounds while most of us were away,7.0,ygg_anderson#4998,2021-07-28T22:00:00.000Z,
342,342,maintain server quick get rid spam 🥳,for maintaining this server and being so quick at getting rid of spam 🥳,7.0,Vyvy-vi#5040,2021-07-18T22:00:00.000Z,
344,344,make spain covid✌️,for making myself in spain with covid✌️,7.0,"griff (💜, 💜)#8888",2021-07-28T22:00:00.000Z,
347,347,risk live come ethcc pari,for risking their lives to come to EthCC in Paris,8.0,DanKnobelsdorf#0326,2021-07-30T22:00:00.000Z,
348,348,make awesom sticker happen tec,for making awesome stickers happen for the TEC,9.67,chuygarcia.eth#6692,2021-07-18T22:00:00.000Z,
350,350,contribut comm,for all of their contributions to comms,4.1,David (please DYOR...)#4116,2021-07-15T22:00:00.000Z,
352,352,contribut comm,for all of their contributions to comms,8.67,natesuits#4789,2021-07-15T22:00:00.000Z,
354,354,talk ethcc ,for her talk at ETHCC!,7.67,akrtws (TE Academy)#4246,2021-07-28T22:00:00.000Z,
355,355,help zep creat privaci polici,for helping Zep create the privacy policy,15.67,Juankbell#7458,2021-07-15T22:00:00.000Z,
357,357,contribut charg common config dashboard,for his contributions and being in charge of the Commons Config Dashboard,15.67,Mount Manu#3530,2021-07-30T22:00:00.000Z,
359,359,proactiv everyth alway look help everyon,for being proactive for everything and always looking to help everyone,8.67,Zeptimus#3359,2021-07-28T22:00:00.000Z,
360,360,fantast job comm week could never achiev great ethcc week without watch back doubl prais serious ❤️,"for the fantastic job they've been doing at comms this week! we could've never achieved such a great ethcc week without you watching our backs! DOUBLE PRAISE, seriously ❤️",10.33,David (please DYOR...)#4116,2021-07-23T22:00:00.000Z,
361,361,take care swag outreach hatcher ,for taking care of the SWAG outreach to hatchers!,18.33,iviangita#3204,2021-07-27T22:00:00.000Z,
363,363,help set tec snapshot ,for helping me set up the TEC snapshot!,10.33,"griff (💜, 💜)#8888",2021-07-26T22:00:00.000Z,
364,364,juan wouldn’t,for him Juan wouldn’t be where he is,4.33,vicente.eth#4828,2021-07-15T22:00:00.000Z,
365,365,jump observ prais audit final,for jumping in and observing the Praise Audit finalization,7.67,Suga#8514,2021-07-12T22:00:00.000Z,
367,367,ethcc talk,for her ethcc talk,7.67,akrtws (TE Academy)#4246,2021-07-22T22:00:00.000Z,
369,369,ethcc daoist talk,for his ethcc & daoist talks,12.03,"griff (💜, 💜)#8888",2021-07-22T22:00:00.000Z,
370,370,welcom us beauti pari 🌹🙌🏽,for welcoming us so beautifully in Paris 🌹🙌🏽,2.1,jukren#8803,2021-07-17T22:00:00.000Z,
